step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,0,0,0,75796,0,0
1,1175,327,205538,256144,278649,73491,347212,44700
2,0,0,0,0,0,76714,0,0
3,1346,327,212771,176960,185410,77352,245225,41694
4,0,0,0,0,0,75796,0,0
5,0,0,0,118010,116410,75162,171890,25557
6,1175,327,212836,589610,668410,105534,687728,19354
7,0,0,0,0,0,98287,0,0
8,491,327,212846,279320,306887,66869,467285,38667
9,0,0,0,0,0,98746,0,0
10,1346,327,204832,116596,132903,116893,478962,32410
11,0,0,0,0,0,104678,0,0
12,0,0,0,0,0,98259,0,0
13,0,0,0,428480,479810,96641,512723,26375
