step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,2478,0,0,75796,0,0
1,1175,327,206395,229218,247688,73491,638528,44700
2,0,0,2478,0,0,76714,0,0
3,1346,327,214572,128015,129787,77352,393965,41694
4,0,0,2478,0,0,75796,0,0
5,0,0,179807,118010,116410,75162,244140,25557
6,1175,327,214706,474450,534728,105534,1245658,19354
7,0,0,2478,0,0,98287,0,0
8,491,327,214295,317250,350728,66869,871418,38667
9,0,0,2478,0,0,98746,0,0
10,1346,327,206040,170055,221505,116893,943372,32410
11,0,0,2478,0,0,104678,0,0
12,0,0,2478,0,0,98259,0,0
13,0,0,183262,428480,479810,96641,978050,26375
