step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,0,0,0,854668,0,0
1,40936,8971,205538,3986004,9706365,870943,5691286,44610
2,0,0,0,0,0,873550,0,0
3,47692,8723,212771,2903559,5678950,942190,3955625,41610
4,0,0,0,0,0,866099,0,0
5,0,0,0,0,0,913033,0,0
6,40815,9223,207415,8705452,23442150,1305583,14079831,20720
7,0,0,0,0,0,1149664,0,0
8,14522,8880,212846,4229679,10683057,807910,8690790,35548
9,0,0,0,0,0,1156941,0,0
10,47723,8730,204242,1935281,4609508,1462894,9219160,32302
11,0,0,0,0,0,1236299,0,0
12,0,0,0,0,0,1191339,0,0
13,0,0,0,6436523,14736830,1203319,8965281,26329
