step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,0,0,0,108844,0,0
1,1175,261,206395,623696,270207,105675,426942,44610
2,0,0,0,0,0,110194,0,0
3,1346,261,214572,454538,179810,111264,292825,41610
4,0,0,0,0,0,108844,0,0
5,0,0,0,0,0,107994,0,0
6,1175,261,214706,1451496,648110,153054,860754,20720
7,0,0,0,0,0,141919,0,0
8,491,261,214295,635048,297577,96029,582635,35548
9,0,0,0,0,0,142594,0,0
10,1346,261,204458,303335,128871,169597,595354,32302
11,0,0,0,0,0,151334,0,0
12,0,0,0,0,0,141891,0,0
13,0,0,0,1058454,465250,139841,636317,26329
