step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,0,0,0,75796,0,0
1,1175,327,205538,256144,278649,73491,347212,44700
2,0,0,0,0,0,76714,0,0
3,1346,327,212771,176960,185410,77352,245225,41694
4,0,0,0,0,0,75796,0,0
5,0,0,0,0,0,75162,0,0
6,1175,327,212836,589610,668410,105534,688204,20792
7,0,0,0,0,0,98287,0,0
8,491,327,212846,279320,306887,66869,469585,35626
9,0,0,0,0,0,98746,0,0
10,1346,327,204242,118561,132903,116893,481114,32368
11,0,0,0,0,0,104678,0,0
12,0,0,0,0,0,98259,0,0
13,0,0,0,428480,479810,96641,512557,26389
